date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2023-01-04,246.2,246.2,247.3,247.3,245.6,245.6,246.5,246.5,15293.024,15293.024
2023-01-03,245.3,245.3,247.0,247.0,244.4,244.4,246.1,246.1,115059.991,115059.991
2023-01-02,244.5,244.5,247.9,247.9,240.7,240.7,245.2,245.2,173452.9,173452.9
2023-01-01,246.3,246.3,246.7,246.7,243.4,243.4,244.4,244.4,109450.117,109450.117
2022-12-31,245.8,245.8,248.0,248.0,244.8,244.8,246.3,246.3,134141.311,134141.311
2022-12-30,246.3,246.3,246.7,246.7,242.7,242.7,245.8,245.8,128406.533,128406.533
2022-12-29,244.6,244.6,246.9,246.9,243.3,243.3,246.3,246.3,161959.266,161959.266
2022-12-28,246.7,246.7,247.4,247.4,241.5,241.5,244.5,244.5,208632.342,208632.342
2022-12-27,244.3,244.3,248.9,248.9,242.1,242.1,246.7,246.7,196642.12,196642.12
2022-12-26,243.2,243.2,244.9,244.9,242.0,242.0,244.3,244.3,117117.968,117117.968
2022-12-25,244.6,244.6,245.8,245.8,241.4,241.4,243.2,243.2,125016.877,125016.877
2022-12-24,246.2,246.2,246.3,246.3,243.4,243.4,244.5,244.5,96773.731,96773.731
2022-12-23,245.9,245.9,248.7,248.7,243.7,243.7,246.2,246.2,175280.013,175280.013
2022-12-22,246.2,246.2,248.3,248.3,240.1,240.1,245.8,245.8,246104.196,246104.196
2022-12-21,251.4,251.4,251.5,251.5,245.2,245.2,246.2,246.2,195051.385,195051.385
2022-12-20,240.3,240.3,253.5,253.5,239.1,239.1,251.4,251.4,320509.026,320509.026
2022-12-19,251.1,251.1,253.3,253.3,236.8,236.8,240.4,240.4,408787.202,408787.202
2022-12-18,242.1,242.1,254.6,254.6,239.5,239.5,251.0,251.0,526139.427,526139.427
2022-12-17,231.2,231.2,245.0,245.0,220.0,220.0,242.1,242.1,788798.493,788798.493
2022-12-16,258.9,258.9,264.7,264.7,224.7,224.7,231.2,231.2,876900.031,876900.031
2022-12-15,267.7,267.7,268.1,268.1,256.5,256.5,258.8,258.8,350889.164,350889.164
2022-12-14,272.2,272.2,278.4,278.4,265.5,265.5,267.7,267.7,580082.911,580082.911
2022-12-13,276.1,276.1,282.0,282.0,255.6,255.6,272.2,272.2,1309642.684,1309642.684
2022-12-12,284.5,284.5,285.8,285.8,271.7,271.7,276.1,276.1,507509.835,507509.835
2022-12-11,288.2,288.2,291.4,291.4,283.3,283.3,284.4,284.4,206340.146,206340.146
