date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2023-01-04,1214.56,1214.56,1228.85,1228.85,1212.71,1212.71,1225.36,1225.36,30863.6308,30863.6308
2023-01-03,1213.99,1213.99,1219.89,1219.89,1204.93,1204.93,1214.55,1214.55,205519.4944,205519.4944
2023-01-02,1200.33,1200.33,1224.29,1224.29,1193.0,1193.0,1214.0,1214.0,252794.14,252794.14
2023-01-01,1196.13,1196.13,1204.67,1204.67,1190.57,1190.57,1200.34,1200.34,117762.0685,117762.0685
2022-12-31,1199.98,1199.98,1208.46,1208.46,1191.66,1191.66,1196.13,1196.13,139379.2811,139379.2811
2022-12-30,1200.48,1200.48,1202.15,1202.15,1181.08,1181.08,1199.99,1199.99,266014.2115,266014.2115
2022-12-29,1190.15,1190.15,1206.57,1206.57,1186.77,1186.77,1200.49,1200.49,249130.4869,249130.4869
2022-12-28,1211.55,1211.55,1215.78,1215.78,1181.06,1181.06,1190.15,1190.15,367828.8914,367828.8914
2022-12-27,1228.12,1228.12,1233.73,1233.73,1200.58,1200.58,1211.55,1211.55,262437.6398,262437.6398
2022-12-26,1218.52,1218.52,1231.09,1231.09,1211.67,1211.67,1228.11,1228.11,162723.0857,162723.0857
2022-12-25,1220.42,1220.42,1225.0,1225.0,1193.18,1193.18,1218.51,1218.51,231652.0612,231652.0612
2022-12-24,1219.98,1219.98,1227.99,1227.99,1214.69,1214.69,1220.41,1220.41,123701.5301,123701.5301
2022-12-23,1217.72,1217.72,1231.99,1231.99,1210.0,1210.0,1219.99,1219.99,278604.2882,278604.2882
2022-12-22,1213.78,1213.78,1237.99,1237.99,1182.54,1182.54,1217.71,1217.71,336761.6598,336761.6598
2022-12-21,1216.95,1216.95,1223.39,1223.39,1203.02,1203.02,1213.78,1213.78,245723.8377,245723.8377
2022-12-20,1167.82,1167.82,1230.47,1230.47,1163.12,1163.12,1216.94,1216.94,465184.1943,465184.1943
2022-12-19,1183.06,1183.06,1195.0,1195.0,1150.51,1150.51,1167.82,1167.82,296832.7228,296832.7228
2022-12-18,1187.16,1187.16,1199.54,1199.54,1170.32,1170.32,1183.06,1183.06,252260.144,252260.144
2022-12-17,1166.82,1166.82,1190.03,1190.03,1161.92,1161.92,1187.16,1187.16,328881.6281,328881.6281
2022-12-16,1266.53,1266.53,1280.06,1280.06,1155.32,1155.32,1166.83,1166.83,751422.2779,751422.2779
